phrasal	meaning	significado	phrase	frase	position
get up	to rise from a bed or chair. when someone who is sitting or lying down gets up, they rise to a standing position; to wake up after sleeping and get out of bed	levantar-se de uma cama ou cadeira. quando alguém que está sentado ou deitado se levanta, eles se levantam para uma posição de pé; acordar depois de dormir e sair da cama	You have been sleeping for 15 hours; you need to get up now!	Você está dormindo há 15 horas; você precisa se levantar agora!	2761
get up	to rise from a bed or chair. when someone who is sitting or lying down gets up, they rise to a standing position; to wake up after sleeping and get out of bed	levantar-se de uma cama ou cadeira. quando alguém que está sentado ou deitado se levanta, eles se levantam para uma posição de pé; acordar depois de dormir e sair da cama	It's hard to get up for school when the weather is so cold.	É difícil levantar-se para a escola quando o tempo está tão frio.	2762
get up	stand	levantar	You should get up and give the elderly man your seat.	Você deve se levantar e dar seu assento ao idoso.	2763
get up	to move to a higher level/position.	passar para um nível / posição mais alto.	I get up at seven o'clock on weekdays, but lie in till noon at the weekend.	me levanto às sete horas durante a semana, mas deite-se até o meio-dia no final de semana.	2764
get up	stand		You should get up and give the elderly man your seat.	Você deve se levantar e dar seu assento ao idoso.	2765
get up	get out of bed.	levantar-se da cama.	I get up at seven o'clock on weekdays, but lie in till noon at the weekend.	me levanto às sete horas durante a semana, mas deite-se até o meio-dia no final de semana.	2766
get up	organise.	organizar	They got up a list of two hundred people who were opposed to the local council's plans.	Eles aumentaram uma lista de duzentas pessoas que se opunham aos planos do conselho local.	2767
get up	to move to a higher level/position.	passar para um nível / posição mais alto.	I get up at seven o'clock on weekdays, but lie in till noon at the weekend.	me levanto às sete horas durante a semana, mas deite-se até o meio-dia no final de semana.	2768
get up	move in an upwards direction; to ascend or climb	mover-se na direção ascendente; ascender ou escalar			2769
get up	rise from one's bed	levantar-se da cama			2770
get up	move from a sitting or lying position to a standing position; to stand up	passar da posição sentada ou deitada para a posição em pé; levantar-se			2771
get up	materialise; to grow stronger	materializar; ficar mais forte			2772
get up	bring together, amass	reunir, acumular			2773
get up	gather or grow larger by accretion	reunir ou se tornar mais largo por acréscimo			2774
get up	criticise	criticar			2775
get up	stop sleeping and leave bed	parar de dormir e sair da cama			2776
get up	dress in a certain way, especially extravagantly	vistir-se de uma certa maneira, especialmente de maneira extravagante			2777
get up to	do something wrong or naughty.	fazer algo errado ou safado.	The children are always getting up to some trouble or other.	As crianças estão sempre se levantando para alguns problemas ou outros.	2778
get up to	do something, especially something that you should not do	fazer algo, especialmente algo que você não deveria fazer			2779
get used	become accustomed to something; to acclimate; to adjust	acostumar-se com alguma coisa; aclimatar; ajustar			2780
get with	impregnate	impregnar			2781
get with	align oneself with 	alinhar-se com			2782
ghost away	remove someone secretly of discreetly.	remover alguém secretamente.	They ghosted him away to a secret location before he could be arrested.	Eles o fantasmavam para um local secreto antes que ele pudesse ser preso.	2783
gin up	boost, increase or exaggerate.	impulsionar, aumentar ou exagerar.	The candidates tried to gin up support at the straw poll by transporting their supporters for free.	Os candidatos tentaram subir apoio na pesquisa de palha, transportando seus apoiadores gratuitamente.	2784
ginger up	make more lively.	tornar mais animada.	They tried to ginger up the party to stop people leaving.	Os candidatos tentaram subir apoio na pesquisa de palha, transportando seus apoiadores gratuitamente.	2785
give away	to give someone something that you no longer need; to reveal a secret to someone	dar a alguém algo que você não precisa mais; revelar um segredo a alguém	You can't give away this book. That was Grandpa's present for your fifth birthday.	Não podes dar este livro. Era o presente do avô para o teu quinto aniversário.	2786
give away	to give someone something that you no longer need; to reveal a secret to someone	dar a alguém algo que você não precisa mais; revelar um segredo a alguém	I hate Wendy because she gave away my secret.	Odeio a Wendy porque ela deu o meu segredo.	2787
give away	to give someone something that you no longer need; to reveal a secret to someone	dar a alguém algo que você não precisa mais; revelar um segredo a alguém	What will happen if he gives away our plan?	O que acontecerá se ele desistir do nosso plano?	2788
give away	take the bride to the altar	levar a noiva ao altar	My father gave me away at my wedding.	Meu pai me entregou no meu casamento.	2789
give away	to hand things out for free	distribuir as coisas de graça	When Linda's cat had kittens, she gave them all away to good homes.	Quando o gato de Linda tinha gatinhos, ela os entregou a todos em boas casas.	2790
give away	to give something for free or without expecting anything in return.	dar algo de graça ou sem esperar nada em troca.	He gave his daughter away and told the groom to look after her.	Ele deu a filha e disse ao noivo para cuidar dela.	2791
give away	entrust your daughter to her husband through the marriage ceremony.	confiar sua filha ao marido através da cerimônia de casamento.	He gave his daughter away and told the groom to look after her.	Ele deu a filha e disse ao noivo para cuidar dela.	2792
give away	tell a secret, often unintentionally.	dizer um segredo, muitas vezes sem querer.	She didn't give anything away about the party so it came as a complete surprise to me.	Ela não deu nada sobre a festa, então veio como uma completa surpresa para mim.	2793
give away	distribute something for free.	distribuir algo de graça.	In this issue of the magazine, they are giving away a free dvd.	Nesta edição da revista, eles estão dando um DVD gratuito.	2794
give away	give without asking for or expecting payment.	dar sem pedir ou esperar o pagamento.	He decided to give his new album away in a magazine.	Ele decidiu dar seu novo álbum em uma revista.	2795
give away	give an advantage to your opponent in a sport by making a mistake, playing badly, etc.	dar uma vantagem para o seu adversário em um esporte cometendo um erro, tocando mal, etc.	They gave away two goals in the first half.	Eles deram dois gols no primeiro semestre.	2796
give away	give an unwanted baby to people to bring up.	dar um bebê indesejado para as pessoas criá-lo.	She had to give her baby away as she couldn't afford to bring it up.	Ela teve que dar seu bebê pois ela não podia se dar ao luxo de criá-lo.	2797
give away	betray, report to authorities.	trair, delatar, relatar às autoridades.	The gang gave him away to the police.	A gangue delatou-a para a polícia.	2798
give away	give a weight advantage to an opponent in boxing.	dar uma vantagem para um adversário no boxe.	He is giving away thirty pounds to the challenger.	Ele está dando trinta quilos para o desafiante.	2799
give away	to give something for free or without expecting anything in return.	dar algo de graça ou sem esperar nada em troca.	He gave his daughter away and told the groom to look after her.	Ele deu a filha e disse ao noivo para cuidar dela.	2800
give away	make a gift of (something)	fazer um presente de algo			2801
give away	formally hand over a bride to the bridegroom; often by her father	entregar formalmente a noiva ao noivo; muitas vezes por seu pai			2802
give away	unintentionally reveal a secret, or expose someone	revelar involuntariamente um segredo ou expor alguém			2803
give away	concede an advantage in weight, time, height etc.	conceder uma vantagem em peso, tempo, altura, etc.			2804
give back	to return something to its owner	devolver algo ao seu dono	Can you please give this comic back to John?	Podes devolver esta história em quadrinhos ao John?	2805
give back	to return something to its owner	devolver algo ao seu dono	Please give it back after you use it.	Por favor, devolva-o depois de usá-lo.	2806
give back	to return something to its owner	devolver algo ao seu dono	Give it back. It's not yours.	Devolve-o. Não é teu.	2807
give back	return a borrowed item	devolver um item emprestado	I have to give these skates back to Franz before his hockey game.	Eu tenho que devolver esses patins a Franz antes de seu jogo de hóquei.	2808
give back	return something you've borrowed.	devolver algo que você tomou emprestado.	I gave the money back that she'd lent to me.	Ele está dando trinta quilos para o desafiante.	2809
give back	return something that someone has lost.	devolver algo que alguém perdeu.	Nothing could give me back the way I felt before the scandal.	Nada poderia me dar de volta o jeito que senti antes do escândalo.	2810
give back	return, restore	retornar, restaurar			2811
give back	contribute money, goods or, especially, services for charitable purposes, as if in return for one's own success	contribuir com dinheiro, bens ou, especialmente, serviços para fins de caridade, como se fosse em troca do próprio sucesso			2812
give forth	emit or release something	emitir ou liberar algo			2813
give forth	give off an emanation	emitir uma emanação	The roses give forth a very heady scent at this time of the year.		2814
give forth	to emit or release something.	emitir ou liberar algo.	The chimney gave forth a cloud of grey smoke.		2815
give in	to accept that you cannot win; to hand in	aceitar que você não pode vencer; entregar	There's no point in persuading him. He will never give in.	Não faz sentido convencê-lo. Ele nunca vai ceder.	2816
give in	to accept that you cannot win; to hand in	aceitar que você não pode vencer; entregar	The police will not give in to the criminals.	A polícia não vai ceder aos criminosos.	2817
give in	to accept that you cannot win; to hand in	aceitar que você não pode vencer; entregar	Today is the deadline to give in your assignment.	Hoje é o prazo para dar em sua tarefa.	2818
give in	reluctantly stop fighting or arguing	ceder, desistir, entregar	My boyfriend didn't want to go to the ballet, but he finally gave in	Meu namorado não queria ir ao balé, mas ele finalmente cedeu	2819
give in	to surrender, especially in a fight or argument	se render, especialmente em uma briga ou discussão	Ben's mother gave in and let him stay out late with his friends.	A mãe de Ben cedeu e deixou-o ficar fora até tarde com seus amigos.	2820
give in	to surrender to something.	se render a alguma coisa.	I couldn't finish the crossword puzzle and had to give in and look at the answers.	não conseguia terminar os palavras cruzadas e tive que ceder e olhar para as respostas.	2821
give in	reluctantly stop fighting or arguing		My boyfriend didn't want to go to the ballet, but he finally gave in	Meu namorado não queria ir ao balé, mas ele finalmente cedeu	2822
give in	stop doing something because it's too hard or requires too much energy.	parar de fazer algo porque é muito difícil ou requer muita energia.	I couldn't finish the crossword puzzle and had to give in and look at the answers.	não conseguia terminar os palavras cruzadas e tive que ceder e olhar para as respostas.	2823
give in	submit homework, etc..	enviar lição de casa, etc.	The projects have to be given in three weeks before we break up for the end of term.	Os projetos precisam ser dados em três semanas antes de nos separarmos pelo final do prazo.	2824
give in	surrender, accept defeat.	rendição, aceitar a derrota.	They gave in when the police surrounded the building.	Eles cederam quando a polícia cercou o prédio.	2825
give in	offer or submit for judgement, approval.	oferecer ou enviar para julgamento, aprovação.	They gave in their complaint to the court.	Eles cederam quando a polícia cercou o prédio.	2826
give in	to surrender to something.	se render a alguma coisa.	I couldn't finish the crossword puzzle and had to give in and look at the answers.	não conseguia terminar os palavras cruzadas e tive que ceder e olhar para as respostas.	2827
give in	collapse or fall	colapso ou queda			2828
give in	relent, yield, surrender or admit defeat	ceder, render-se ou admitir a derrota			2829
give in to	agree to something you don't like.	concordar com algo que você não gosta.	The government says it will not give in to terrorists.	O governo diz que não vai ceder aos terroristas.	2830
give in to	allow a feeling or desire to control you.	permitir um sentimento ou desejo de controlar você.	Eventually, I gave in to my anger and screamed at them.	Eventualmente, cedeu à minha raiva e gritei para eles.	2831
give in to	allow a feeling or desire to control you	permitir que um sentimento ou desejo controle você			2832
give in to	criticise harshly or punish someone for something.	criticar duramente ou punir alguém por alguma coisa.			2833
give it away	gift, donation, present	entregar, doar, dar, distribuir	There's no rush to give it away	Não há pressa para entregar	2834
give it away	gift, donation, present		There's no rush to give it away	Não há pressa para entregar	2835
give it to	criticise harshly or punish someone for something.	criticar duramente ou punir alguém por algo.	They really gave it to me for forgetting to turn up.	Eles realmente me deram para esquecer de aparecer.	2836
give it up for	to ask someone to cheer and applaud	pedir a alguém para aplaudir e aplaudir	Everybody, give it up for James Smith.	Todos, desistam por James Smith.	2837
give it up for	to ask someone to cheer and applaud	pedir a alguém para aplaudir e aplaudir	Let's give it up for this film star.	Vamos desistir desta estrela de cinema.	2838
give it up for	to ask someone to cheer and applaud	pedir a alguém para aplaudir e aplaudir	We gave it up for Linda when she showed up on stage.	Desistimos da Linda quando ela apareceu no palco.	2839
give it up for	applaud.	aplaudir	Please give it up for our next guest.	Por favor, desista para o nosso próximo hóspede.	2840
give it up for	applaud.	aplaudir			2841
give it up to	applaud.	aplaudir	Please give it up to our next guest.	Por favor, desista para o nosso próximo hóspede.	2842
give it up to	applaud.	aplaudir			2843
give of	contribute without expecting anything in return, usually time or money.	contribuir sem esperar nada em troca, geralmente tempo ou dinheiro.	He give of his free time to help the club.	Ele dá de seu tempo livre para ajudar o clube.	2844
give of oneself	devote oneself unselfishly to a task, especially to give time and energy	dedicar-se desinteressadamente a uma tarefa, especialmente para dedicar tempo e energia			2845
give off	to produce something such as heat, light, or a smell	produzir algo como calor, luz ou cheiro	Vehicles give off a large amount of smoke every day.	Veículos emitem uma grande quantidade de fumaça todos os dias.	2846
give off	to produce something such as heat, light, or a smell	produzir algo como calor, luz ou cheiro	This air-conditioner has been broken. It has given off lots of heat.	Este ar condicionado foi quebrado. Ele tem emitido muito calor.	2847
give off	to produce something such as heat, light, or a smell	produzir algo como calor, luz ou cheiro	This plant gave off a terrible smell.	Esta planta deu um cheiro terrível.	2848
give off	to emit or produce	emitir ou produzir	The flowers give off a pleasant fragrance.	As flores emitem uma fragrância agradável.	2849
give off	emit pollution or something else unpleasant.	emitir poluição ou algo mais desagradável.	The police stopped the van because it was giving off a lot of black smoke.	A polícia parou a van porque estava dando muita fumaça negra.	2850
give off	behave in a way that makes people think of you in a certain way.	se comportar de uma maneira que faça as pessoas pensarem de você de uma certa maneira.	She gives off an air of nobility.	Ela desata um ar de nobreza.	2851
give off	expand.	expandir, ampliar	The company is giving off all over the country.	Ela desata um ar de nobreza.	2852
give off	follow or take one of 2 or more branches (instructions, in machine code) in writing a computer program (using system software for a programming language).	seguir ou pegar uma das 2 ou mais ramificações (instruções, no código da máquina) por escrito um programa de computador (usando o software do sistema para uma linguagem de programação).	a particular application of a processing code can be given off while requiring minimal run-time support.	Uma determinada aplicação de um código de processamento pode ser distribuída enquanto exige suporte mínimo de tempo de execução.	2853
give off	produce heat, light, smell etc	produzir calor, luz, cheiro, etc	Therefore, this energy is given off, cooling the gas.	A história acontece no século XVIII.	2854
give off	emit; to produce and send forth	emitir; produzir e enviar			2855
give onto	to have a view of or passage to something	ter uma visão ou passagem para algo	The window gives onto the garden.	A janela dá para o jardim.	2856
give onto	to have a view of or passage to something	ter uma visão ou passagem para algo	The bedroom gives onto the balcony.	O quarto dá para a varanda.	2857
give onto	to have a view of or passage to something	ter uma visão ou passagem para algo	The doors give onto the football pitch.	As portas dão para o campo de futebol.	2858
give onto	open into a place, for a door or window.	abrir em um lugar, uma porta ou janela.	The French windows give onto the lawn.	As janelas francesas dão ao gramado.	2859
give out	to stop working; to make known to people; to give something to a group of people	parar de trabalhar; dar a conhecer às pessoas; dar algo a um grupo de pessoas	My batteries gave out.	Minhas baterias deram.	2860
give out	to stop working; to make known to people; to give something to a group of people	parar de trabalhar; dar a conhecer às pessoas; dar algo a um grupo de pessoas	They were giving out flyers to the passengers.	Eles estavam distribuindo panfletos para os passageiros.	2861
give out	to stop working; to make known to people; to give something to a group of people	parar de trabalhar; dar a conhecer às pessoas; dar algo a um grupo de pessoas	The news was given out by the reporter.	A notícia foi divulgada pelo repórter.	2862
give out	give to many people (usually at no cost)	distribuir de graça	They were giving out free perfume samples at the department store.	Eles estavam dando amostras de perfume gratuitas na loja de departamentos.	2863
give out	to break down or stop working	quebrar ou parar de trabalhar	The city had to rebuild the bridge completely because it was about to give out and fall down.	A cidade teve que reconstruir a ponte completamente porque estava prestes a desistir e cair.	2864
give out	to hand out or distribute something	distribuir algo	He has a lot of contacts because he gives out his business card to everyone he meets.	Ele tem muitos contatos porque dá seu cartão de visita a todos que conhece.	2865
give out	to distribute something.	distribuir alguma coisa.	Somebody was giving leaflets out in front of the underground station.	Alguém estava dando folhetos em frente à estação de metro.	2866
give out	distribute.	distribuir	Somebody was giving leaflets out in front of the underground station.	Alguém estava dando folhetos em frente à estação de metro.	2867
give out	stop working, through age or overuse.	parar de trabalhar, através da idade ou uso excessivo.	I'd been having trouble with my laptop and it finally gave out at the weekend.	estava tendo problemas com meu laptop e finalmente deu no fim de semana.	2868
give out	have no more of a supply.	não ter mais um suprimento.	The water gave out after a week in the desert.	A água deu depois de uma semana no deserto.	2869
give out	make public.	tornar público	They gave the names of the winners out last night.	Eles deram os nomes dos vencedores na noite passada.	2870
give out	emit.	emitir	The factory gives out a lot of fumes.	A fábrica dá muitas fumas.	2871
give out	end or finish somewhere.	terminar em algum lugar.	The path gives out halfway around the lake.	O caminho dá até a metade do lago.	2872
give out	make a sound or noise.	fazer um som ou ruído.	She gave out a moan.	Ela deu um gemido.	2873
give out	read the wordings of a hymn or psalm aloud for congregational singing.	ler um hino ou salmo em voz alta para cantos congregacionais.	He gave out the psalm.	Ele deu o salmo.	2874
give out	to distribute something.	distribuir alguma coisa.	Somebody was giving leaflets out in front of the underground station.	Alguém estava dando folhetos em frente à estação de metro.	2875
give out	issue; to distribute	emitir; distribuir			2876
give out	break down, get out of order, fail	quebrar, sair da ordem, falhar			2877
give out	complain, sulk, chastise	reclamar, ficar de mau humor, castigar			2878
give over	to stop doing something because it's annoying	parar de fazer algo porque é irritante	That's annoying. Give over your screaming.	Isso é irritante. Desista dos seus gritos.	2879
give over	to stop doing something because it's annoying	parar de fazer algo porque é irritante	Give over, Mark. I don't want to listen to it anymore.	Desiste, Mark. Já não quero ouvi-lo.	2880
give over	to stop doing something because it's annoying	parar de fazer algo porque é irritante	I guess the rain will soon give over.	Acho que a chuva logo vai ceder.	2881
give over	stop doing something bad or annoying.	parar de fazer algo ruim ou chato.	They were making a lot of noise so I told them to give over.	Eles estavam fazendo muito barulho, então eu disse a eles para desistir.	2882
give over	entrust, pass on responsibility.	confiar, responsabilidade.	We've given the premises over to the new company.	Nós fornecemos as instalações para a nova empresa.	2883
give over	stop an activity.	parar uma atividade.	The police told the rioters to give over.	A polícia disse aos desordeiros para desistir.	2884
give over	an expression of disbelief.	uma expressão de descrença.	They've doubled your salary- give over!	Eles dobraram seu salário - entregar!	2885
give over	entrust (something) to another	confiar algo a outro			2886
give over	devote or resign to a particular purpose or activity	dedicar-se ou renunciar a um propósito ou atividade específica			2887
give over	give up; abandon; desert; stop	desistir; abandono; deserto; parar			2888
give over to	dedicate, devote.	dedicar.	He gave himself over to finding his son.	Ele se entregou a encontrar seu filho.	2889
give over to	transfer responsibility.	transferir a responsabilidade.	After her death, they gave control of the estate over to her niece.	Depois de sua morte, eles deram controle da propriedade para sua sobrinha.	2890
give somebody away	take the bride to the altar		My father gave me away at my wedding.	Meu pai me entregou no meu casamento.	2891
give something back	return a borrowed item		I have to give these skates back to Franz before his hockey game.	Eu tenho que devolver esses patins a Franz antes de seu jogo de hóquei.	2892
give something out	give to many people (usually at no cost)		They were giving out free perfume samples at the department store.	Eles estavam dando amostras de perfume gratuitas na loja de departamentos.	2893
give something up	quit a habit		I am giving up smoking as of January 1st.	Vou parar de fumar a partir de 1º de janeiro.	2894
give up	to stop doing something	parar de fazer alguma coisa	He gave up smoking three years ago.	Ele deixou de fumar há três anos.	2895
give up	to stop doing something	parar de fazer alguma coisa	Don't give up. You're almost there.	Não desista. Estás quase lá.	2896
give up	to stop doing something	parar de fazer alguma coisa	I promised my wife that I would give up staying out late.	Prometi à minha mulher que desistiria de ficar fora até tarde.	2897
give up	quit a habit	largar um hábito	I am giving up smoking as of January 1st.	Vou parar de fumar a partir de 1º de janeiro.	2898
give up	stop trying	parar de tentar	My maths homework was too difficult so I gave up	Meu dever de matemática era muito difícil, então eu desisti	2899
give up	to stop trying, surrender	parar de tentar, rendição	After two weeks of trying to build my own table, I gave up and just bought one.	Depois de duas semanas tentando construir minha própria mesa, desisti e acabei de comprar uma.	2900
give up	to stop doing something without completing it.	parar de fazer algo sem completá-lo.	I gave up taking sugar in tea and coffee to lose weight.	desisti de tomar açúcar no chá e café para perder peso.	2901
give up	stop trying		My maths homework was too difficult so I gave up	Meu dever de matemática era muito difícil, então eu desisti	2902
give up	stop doing something that has been a habit.	parar de fazer algo que tenha sido um hábito.	I gave up taking sugar in tea and coffee to lose weight.	desisti de tomar açúcar no chá e café para perder peso.	2903
give up	stop being friendly, end relationships.	parar de ser amigável, relacionamentos finais.	She gave up all her school friends when she went to university.	Ela desistiu de todas as suas escolas quando foi para a universidade.	2904
give up	stop doing something.	parar de fazer alguma coisa.	I have given up trying to help them.	desisti tentando ajudá-los.	2905
give up	surrender, stop trying.	rendição, parar de tentar.	I can't think of the answer; I give up.	Não consigo pensar na resposta; DESISTO.	2906
give up	sacrifice or dedicate time, etc, to something.	sacrificar ou dedicar tempo, etc, para algo.	I gave up all my free time to the project.	Não consigo pensar na resposta; DESISTO.	2907
give up	allow someone to sit in your chair, take your place, etc.	permitir que alguém se sente em sua cadeira, tome seu lugar, etc.	I gave up my seat to a pregnant woman.	Não consigo pensar na resposta; DESISTO.	2908
give up	to stop doing something without completing it.	parar de fazer algo sem completá-lo.	I gave up taking sugar in tea and coffee to lose weight.	desisti de tomar açúcar no chá e café para perder peso.	2909
give up	surrender (someone or something)	render-se alguém ou algo			2910
give up	stop or quit (an activity, etc)	parar ou desistir de uma atividade, etc.			2911
give up	relinquish (something)	abandonar algo			2912
give up	lose hope concerning (someone or something)	perder a esperança em relação a alguém ou algo			2913
give up	abandon (someone or something)	abandonar alguém ou algo			2914
give up	admit defeat, to capitulate	admitir a derrota, capitular			2915
give up on	to stop hoping or believing that someone will change	parar de esperar ou acreditar que alguém vai mudar	I gave up on her.	Eu desisti dela.	2916
give up on	to stop hoping or believing that someone will change	parar de esperar ou acreditar que alguém vai mudar	Although I know that he isn't loyal, I just can't give up on him.	Embora saiba que ele não é leal, não posso desistir dele.	2917
give up on	to stop hoping or believing that someone will change	parar de esperar ou acreditar que alguém vai mudar	Please don't give up on me. I'll do my best this time.	Por favor, não desista de mim. Desta vez farei o meu melhor.	2918
give up on	lose faith in or stop believing in something or someone.	perder a fé ou parar de acreditar em algo ou em alguém.	I gave up on them when I heard what they were saying about me behind my back.	desisti deles quando ouvi o que eles estavam dizendo sobre mim nas minhas costas.	2919
give up on	stop feeling hope.	parar de sentir a esperança.	I have given up on them; they never do what they promise.	desisti deles; Eles nunca fazem o que prometem.	2920
give up on	lose faith in or stop believing in something or someone.	perder a fé ou parar de acreditar em algo ou alguém.			2921
give up on	stop feeling hope 	parar de sentir esperança			2922
give up to	denounce, report to authorities.	denunciar, relatar às autoridades.	He gave his accomplices up to the police.	Ele deu seus cúmplices até a polícia.	2923
give way	stop to allow vehicles to pass.	parar para permitir que os veículos passem.	You must give way at this junction.	Você deve dar lugar a esta junção.	2924
give way	collapse, break.	colapso, quebrar.	The dam gave way when the floods rose.	A barragem deu lugar quando as inundações aumentaram.	2925
give way	yield to persistent persuasion	render-se à persuasão persistente			2926
give way	collapse or break under physical stresses	colapsar ou quebrar sob estresse físico			2927
give way	give precedence to other road users	dar prioridade aos outros usuários da estrada			2928
give way	be replaced by something better, cheaper, more modern, etc	ser substituído por algo melhor, mais barato, mais moderno, etc.			2929
give way	surrender to strong emotions	render-se a emoções fortes			2930
give way to	yield, surrender, retreat.	rendimento, rendição, retiro.	Don't give way to your worst fears about this.	Não dê lugar aos seus piores medos sobre isso.	2931
give way to	relinquish position or ascendancy.	abandonar a posição ou ascendência.	Night gives way to day.	A noite dá caminho a dia.	2932
give way to	be replaced by something better, cheaper, more modern, etc.	ser substituído por algo melhor, mais barato, mais moderno, etc.	Cottage industries gave way to the big companies.	As indústrias de casa de campo deram lugar às grandes empresas.	2933
give way to	allow a vehicle to pass in front.	permitir que um veículo passe na frente.	You must give way to oncoming traffic.	Você deve ceder ao tráfego que se aproxima.	2934
give way to	surrender to strong emotions.	render-se a fortes emoções.	He gave way to his anger and started screaming at them.	Ele deu lugar à sua raiva e começou a gritar com eles.	2935
give way to	allow a vehicle to pass in front.	permitir que um veículo passe na frente.			2936
give yourself up	surrender to the police or authorities.	render-se à polícia ou às autoridades.	The gang gave themselves up last night.	A gangue se entregou à noite passada.	2937
give yourself up	surrender to the police or authorities	entregar-se à polícia ou autoridades			2938
give yourself up to	dedicate time, energy, etc, to something.	dedicar tempo, energia, etc, para algo.	He gave himself up to his job.	Ele se entregou ao seu trabalho.	2939
giving away	give something to somebody for free	doando	The library was giving away old books on Friday.	A biblioteca estava doando livros antigos na sexta.	2940
giving something away	give something to somebody for free		The library was giving away old books on Friday.	A biblioteca estava doando livros antigos na sexta.	2941
gloss over	try to minimise the importance of something.	tentar minimizar a importância de algo.	The Minister tried to gloss over the report that was critical of her department.	O ministro tentou encobrir sobre o relatório que foi crítico de seu departamento.	2942
gnaw at	trouble, worry or annoy someone.	problemas, preocupação ou incomodar alguém.	I know it was wrong and guilt has gnawed at me ever since I did it.	sei que era errado e a culpa me roçou desde que eu fiz isso.	2943
gnaw at	harm gradually.	prejudicar gradualmente.	The government's dishonesty has gnawed at people's trust in politicians.	A desonestidade do governo rasgou a confiança das pessoas em políticos.	2944
gnaw away at	harm gradually.	prejudicar gradualmente.	Their behaviour gnawed away at our trust in them.	Seu comportamento rasgou a nossa confiança neles.	2945
go about	to start to do something or to do something as usual	começar a fazer algo ou fazer algo como de costume	I don't know how to go about it. Can you just show me?	Não sei como fazer isso. Podes mostrar-me?	2946
go about	to start to do something or to do something as usual	começar a fazer algo ou fazer algo como de costume	He was such a talented CEO. He could go about his business in such a terrible financial crisis.	Ele era um CEO tão talentoso que poderia fazer negócios em uma crise financeira tão terrível.	2947
go about	to start to do something or to do something as usual	começar a fazer algo ou fazer algo como de costume	We need to discuss how to go about solving these problems in the monthly meeting.	Precisamos discutir como resolver esses problemas na reunião mensal.	2948
go about	to take the necessary steps to get something done.	tomar as medidas necessárias para fazer algo.	How should I go about telling her the bad news?	Como devo continuar dizendo a má notícia?	2949
go about	deal with something.	lidar com alguma coisa.	How should I go about telling her the bad news?	Como devo continuar dizendo a má notícia?	2950
go about	circulate.	circular	a rumour is going about involving the Attorney General.	Um boato está indo para envolver o advogado geral.	2951
go about	to take the necessary steps to get something done.	tomar as medidas necessárias para fazer algo.	How should I go about telling her the bad news?	Como devo continuar dizendo a má notícia?	2952
go about	deal with something	lidar com algo			2953
go about	circulate	circular			2954
go across	to cross a river, a bridge, or the ocean	atravessar um rio, uma ponte ou o oceano	How can we go across this river?	Como podemos atravessar este rio?	2955
go across	to cross a river, a bridge, or the ocean	atravessar um rio, uma ponte ou o oceano	It took me five hours to go across the lake on a sailboat.	Levei cinco horas para atravessar o lago em um veleiro.	2956
go across	to cross a river, a bridge, or the ocean	atravessar um rio, uma ponte ou o oceano	Go across the bridge. The post office is on the right.	Atravesse a ponte. Os correios estão à direita.	2957
go across	move to another side or place.	mover-se para outro lado ou lugar.	He went across to the opposition.	Ele atravessou a oposição.	2958
go across	move to another side or place	mover para outro lado ou lugar			2959
go after	to try to get something; to follow someone	tentar conseguir alguma coisa; seguir alguém	I'd gone after him for several hours and realized that he'd had an affair.	Eu tinha ido atrás dele por várias horas e percebi que ele tinha tido um caso.	2960
go after	to try to get something; to follow someone	tentar conseguir alguma coisa; seguir alguém	The police officers have gone after the trace for days but haven't found the murderer yet.	Os polícias andam atrás do rasto há dias, mas ainda não encontraram o assassino.	2961
go after	to try to get something; to follow someone	tentar conseguir alguma coisa; seguir alguém	That's a good opportunity. Go after that job.	É uma boa oportunidade. Vai atrás desse trabalho.	2962
go after	follow somebody	seguir alguém	My brother tried to go after the thief in his car.	Meu irmão tentou ir atrás do ladrão em seu carro.	2963
go after	try to achieve something	tentar alcançar algo	I went after my dream and now I am a published writer.	Fui atrás do meu sonho e agora sou um escritor.	2964
go after	when you do your best to get something no matter how difficult it is.	quando você faz o possível para conseguir algo, não importa o quão difícil seja.	The cat went after the pigeon, but it flew away.	O gato foi atrás do pombo, mas voou embora.	2965
go after	chase, try to get.	perseguir, tentar pegar.	The cat went after the pigeon, but it flew away.	O gato foi atrás do pombo, mas voou embora.	2966
go after	when you do your best to get something no matter how difficult it is.	quando você faz o possível para conseguir algo, não importa o quão difícil seja.	The cat went after the pigeon, but it flew away.	O gato foi atrás do pombo, mas voou embora.	2967
go after	pursue in attempt to catch another	perseguir na tentativa de pegar outro			2968
go after	pursue an object or a goal	perseguir um objeto ou meta			2969
go after somebody	follow somebody		My brother tried to go after the thief in his car.	Meu irmão tentou ir atrás do ladrão em seu carro.	2970
go after something	try to achieve something		I went after my dream and now I am a published writer.	Fui atrás do meu sonho e agora sou um escritor.	2971
go against	to disagree with or oppose someone/something	discordar ou opor-se a alguém/algo	He wasn't a good leader. Everybody on the team went against him.	Ele não era um bom líder. Todos na equipe foram contra ele.	2972
go against	to disagree with or oppose someone/something	discordar ou opor-se a alguém/algo	How dare you go against your parents' wishes?	Como te atreves a ir contra os desejos dos teus pais?	2973
go against	to disagree with or oppose someone/something	discordar ou opor-se a alguém/algo	You may lose your job if you go against your boss.	Você pode perder o emprego se for contra o seu chefe.	2974
